State,Location,State_Location,Climate,Latitude,Lati_unit,Longitude,Longi_unit
Andaman Nicobar,Nicobar,"Andaman Nicobar, Nicobar",Warm & Humid,7,N,93.7842,E
Andaman Nicobar,North Middle Andaman,"Andaman Nicobar, North Middle Andaman",Warm & Humid,12.88,N,92.85,E
Andaman Nicobar,South Andaman,"Andaman Nicobar, South Andaman",Warm & Humid,11.56,N,92.68,E
Andhra Pradesh,Anantapur,"Andhra Pradesh, Anantapur",Warm & Humid,14,N,77.65,E
Andhra Pradesh,Chittoor,"Andhra Pradesh, Chittoor",Warm & Humid,13,N,79.13,E
Andhra Pradesh,East Godavari,"Andhra Pradesh, East Godavari",Warm & Humid,17.27,N,81.83,E
Andhra Pradesh,Guntur,"Andhra Pradesh, Guntur",Warm & Humid,16.3,N,80.48,E
Andhra Pradesh,Kadapa,"Andhra Pradesh, Kadapa",Warm & Humid,14.47,N,78.87,E
Andhra Pradesh,Krishna,"Andhra Pradesh, Krishna",Warm & Humid,16.66,N,80.71,E
Andhra Pradesh,Kurnool,"Andhra Pradesh, Kurnool",Warm & Humid,15.83,N,81.17,E
Andhra Pradesh,Nellore,"Andhra Pradesh, Nellore",Warm & Humid,14,N,80.03,E
Andhra Pradesh,Prakasam,"Andhra Pradesh, Prakasam",Warm & Humid,15,N,78.47,E
Andhra Pradesh,Srikakulam,"Andhra Pradesh, Srikakulam",Warm & Humid,18,N,83.97,E
Andhra Pradesh,Visakhapatnam,"Andhra Pradesh, Visakhapatnam",Warm & Humid,17,N,83.25,E
Andhra Pradesh,Vizianagaram,"Andhra Pradesh, Vizianagaram",Warm & Humid,18,N,83.45,E
Andhra Pradesh,West Godavari,"Andhra Pradesh, West Godavari",Warm & Humid,16,N,82.3,E
Arunachal Pradesh,Anjaw,"Arunachal Pradesh, Anjaw",Warm & Humid,29,N,81.17,E
Arunachal Pradesh,Central Siang,"Arunachal Pradesh, Central Siang","Cold,Warm & Humid",28.21,N,94.72,E
Arunachal Pradesh,Changlang,"Arunachal Pradesh, Changlang",Warm & Humid,16,N,75.75,E
Arunachal Pradesh,Dibang Valley,"Arunachal Pradesh, Dibang Valley",Warm & Humid,29,N,97.83,E
Arunachal Pradesh,East Kameng,"Arunachal Pradesh, East Kameng","Cold,Warm & Humid",27,N,93.4,E
Arunachal Pradesh,East Siang,"Arunachal Pradesh, East Siang",Warm & Humid,28.1,N,95.14,E
Arunachal Pradesh,Kamle,"Arunachal Pradesh, Kamle",,27.73,N,94.09,E
Arunachal Pradesh,Kra Daadi,"Arunachal Pradesh, Kra Daadi",Cold,27.66,N,93.62,E
Arunachal Pradesh,Kurung Kumey,"Arunachal Pradesh, Kurung Kumey",Cold,27.83,N,93.42,E
Arunachal Pradesh,Lepa Rada,"Arunachal Pradesh, Lepa Rada",,27.98,N,94.68,E
Arunachal Pradesh,Lohit,"Arunachal Pradesh, Lohit",Warm & Humid,29,N,97.4,E
Arunachal Pradesh,Longding,"Arunachal Pradesh, Longding",Warm & Humid,26.87,N,95.31,E
Arunachal Pradesh,Lower Dibang Valley,"Arunachal Pradesh, Lower Dibang Valley",Warm & Humid,28.42,N,95.87,E
Arunachal Pradesh,Lower Siang,"Arunachal Pradesh, Lower Siang",Warm & Humid,27.59,N,27.595603°,E
Arunachal Pradesh,Lower Subansiri,"Arunachal Pradesh, Lower Subansiri",Warm & Humid,27,N,93.6,E
Arunachal Pradesh,Namsai,"Arunachal Pradesh, Namsai",Warm & Humid,27.66,N,95.86,E
Arunachal Pradesh,Pakke Kessang,"Arunachal Pradesh, Pakke Kessang",,27.15,N,93.2,E
Arunachal Pradesh,Papum Pare,"Arunachal Pradesh, Papum Pare",Warm & Humid,27,N,90.25,E
Arunachal Pradesh,Shi Yomi,"Arunachal Pradesh, Shi Yomi",,28.53,N,94.37,E
Arunachal Pradesh,Tawang,"Arunachal Pradesh, Tawang",Cold,27.57,N,91.92,E
Arunachal Pradesh,Tirap,"Arunachal Pradesh, Tirap",Warm & Humid,27,N,97.18,E
Arunachal Pradesh,Upper Siang,"Arunachal Pradesh, Upper Siang",Cold,28.23,N,94.06,E
Arunachal Pradesh,Upper Subansiri,"Arunachal Pradesh, Upper Subansiri",Cold,28,N,94.92,E
Arunachal Pradesh,West Kameng,"Arunachal Pradesh, West Kameng","Cold,Warm & Humid",28,N,92.67,E
Arunachal Pradesh,West Siang,"Arunachal Pradesh, West Siang",Cold,28.14,N,94.74,E
Assam,Baksa,"Assam, Baksa",Warm & Humid,26.66,N,91.34,E
Assam,Barpeta,"Assam, Barpeta",Warm & Humid,26,N,91,E
Assam,Biswanath,"Assam, Biswanath",Warm & Humid,26.74,N,93.13,E
Assam,Bongaigaon,"Assam, Bongaigaon",Warm & Humid,26,N,90.57,E
Assam,Cachar,"Assam, Cachar",Warm & Humid,25,N,93.25,E
Assam,Charaideo,"Assam, Charaideo",Warm & Humid,27.06,N,95.06,E
Assam,Chirang,"Assam, Chirang",Warm & Humid,26.51,N,90.52,E
Assam,Darrang,"Assam, Darrang",Cold,27,N,92.37,E
Assam,Dhemaji,"Assam, Dhemaji",Warm & Humid,27,N,94.97,E
Assam,Dhubri,"Assam, Dhubri",Warm & Humid,26,N,89.97,E
Assam,Dibrugarh,"Assam, Dibrugarh",Warm & Humid,27,N,94.9,E
Assam,Dima Hasao,"Assam, Dima Hasao",Warm & Humid,25.17,N,93.01,E
Assam,Goalpara,"Assam, Goalpara",Warm & Humid,26,N,90.62,E
Assam,Golaghat,"Assam, Golaghat",Warm & Humid,26,N,93.97,E
Assam,Hailakandi,"Assam, Hailakandi",Warm & Humid,24,N,92.57,E
Assam,Hojai,"Assam, Hojai",Warm & Humid,26,N,92.85,E
Assam,Jorhat,"Assam, Jorhat",Warm & Humid,26,N,94.22,E
Assam,Kamrup,"Assam, Kamrup",Warm & Humid,26.25,N,91.52,E
Assam,Kamrup Metropolitan,"Assam, Kamrup Metropolitan",Cold,26.16,N,91.74,E
Assam,Karbi Anglong,"Assam, Karbi Anglong",Warm & Humid,26,N,93.83,E
Assam,Karimganj,"Assam, Karimganj",Warm & Humid,24,N,92.35,E
Assam,Kokrajhar,"Assam, Kokrajhar",Warm & Humid,26,N,90.27,E
Assam,Lakhimpur,"Assam, Lakhimpur",Warm & Humid,27,N,94.33,E
Assam,Majuli,"Assam, Majuli",Warm & Humid,27,N,94.22,E
Assam,Morigaon,"Assam, Morigaon",Cold,26,N,95.08,E
Assam,Nagaon,"Assam, Nagaon",Warm & Humid,26,N,92.68,E
Assam,Nalbari,"Assam, Nalbari",Warm & Humid,26,N,91.43,E
Assam,Sivasagar,"Assam, Sivasagar",Warm & Humid,26,N,94.63,E
Assam,Sonitpur,"Assam, Sonitpur",Warm & Humid,26.62,N,92.79,E
Assam,South Salmara-Mankachar,"Assam, South Salmara-Mankachar",Warm & Humid,25.53,N,89.86,E
Assam,Tinsukia,"Assam, Tinsukia",Warm & Humid,27,N,95.37,E
Assam,Udalguri,"Assam, Udalguri",Warm & Humid,26.74,N,92.09,E
Assam,West Karbi Anglong,"Assam, West Karbi Anglong",Cold,25.84,N,92.57,E
Bihar,Araria,"Bihar, Araria",Warm & Humid,25,N,84.53,E
Bihar,Arwal,"Bihar, Arwal",Composite,25,N,85.13,E
Bihar,Aurangabad,"Bihar, Aurangabad",Composite,24,N,84.42,E
Bihar,Banka,"Bihar, Banka","Composite , Warm & Humid",25,N,85.3,E
Bihar,Begusarai,"Bihar, Begusarai",Composite,25,N,86.6,E
Bihar,Bhagalpur,"Bihar, Bhagalpur",Warm & Humid,25,N,87.02,E
Bihar,Bhojpur,"Bihar, Bhojpur",Composite,25,N,84.75,E
Bihar,Buxar,"Bihar, Buxar",Composite,25,N,84.02,E
Bihar,Darbhanga,"Bihar, Darbhanga",Warm & Humid,26,N,85.95,E
Bihar,East Champaran,"Bihar, East Champaran",Warm & Humid,26,N,84.5,E
Bihar,Gaya,"Bihar, Gaya",Composite,42,N,85.02,E
Bihar,Gopalganj,"Bihar, Gopalganj",Composite,26,N,84.43,E
Bihar,Jamui,"Bihar, Jamui",Composite,24,N,86.22,E
Bihar,Jehanabad,"Bihar, Jehanabad",Composite,25,N,85.25,E
Bihar,Kaimur,"Bihar, Kaimur",Composite,24,N,83.67,E
Bihar,Katihar,"Bihar, Katihar",Warm & Humid,25,N,87.67,E
Bihar,Khagaria,"Bihar, Khagaria","Composite , Warm & Humid",25,N,86.48,E
Bihar,Kishanganj,"Bihar, Kishanganj",Warm & Humid,26,N,87.03,E
Bihar,Lakhisarai,"Bihar, Lakhisarai",Composite,25,N,86.42,E
Bihar,Madhepura,"Bihar, Madhepura",Warm & Humid,26,N,87.12,E
Bihar,Madhubani,"Bihar, Madhubani",Warm & Humid,26,N,86.07,E
Bihar,Munger,"Bihar, Munger",Composite,25,N,86.5,E
Bihar,Muzaffarpur,"Bihar, Muzaffarpur","Composite , Warm & Humid",26,N,85.45,E
Bihar,Nalanda,"Bihar, Nalanda",Composite,25,N,85.45,E
Bihar,Nawada,"Bihar, Nawada",Composite,24,N,85.58,E
Bihar,Patna,"Bihar, Patna",Composite,25,N,85.22,E
Bihar,Purnia,"Bihar, Purnia",Warm & Humid,25,N,87.52,E
Bihar,Rohtas,"Bihar, Rohtas",Composite,25,N,84.3,E
Bihar,Saharsa,"Bihar, Saharsa",Warm & Humid,25,N,86.58,E
Bihar,Samastipur,"Bihar, Samastipur",Composite,25,N,85.08,E
Bihar,Saran,"Bihar, Saran",Composite,26,N,85.25,E
Bihar,Sheikhpura,"Bihar, Sheikhpura",Composite,25,N,85.88,E
Bihar,Sheohar,"Bihar, Sheohar",Warm & Humid,26,N,85.05,E
Bihar,Sitamarhi,"Bihar, Sitamarhi",Warm & Humid,27,N,85,E
Bihar,Siwan,"Bihar, Siwan",Composite,25,N,83.88,E
Bihar,Supaul,"Bihar, Supaul",Warm & Humid,26,N,88.5,E
Bihar,Vaishali,"Bihar, Vaishali",Composite,25,N,85.05,E
Bihar,West Champaran,"Bihar, West Champaran",Composite,26,N,85.3,E
Chandigarh,Chandigarh,"Chandigarh, Chandigarh",Composite,30.73,N,76.779,E
Chhattisgarh,Balod,"Chhattisgarh, Balod",Composite,20.73,N,81.202,E
Chhattisgarh,Baloda Bazar,"Chhattisgarh, Baloda Bazar",Composite,21.65,N,82.15,E
Chhattisgarh,Balrampur,"Chhattisgarh, Balrampur",Composite,27.43,N,82.18,E
Chhattisgarh,Bastar,"Chhattisgarh, Bastar",Composite,19,N,81.5,E
Chhattisgarh,Bemetara,"Chhattisgarh, Bemetara",Composite,21.71,N,81.53,E
Chhattisgarh,Bijapur,"Chhattisgarh, Bijapur",Composite,18.79,N,80.81,E
Chhattisgarh,Bilaspur,"Chhattisgarh, Bilaspur",Composite,22,N,82.22,E
Chhattisgarh,Dantewada,"Chhattisgarh, Dantewada",Warm & Humid,19,N,81.67,E
Chhattisgarh,Dhamtari,"Chhattisgarh, Dhamtari",Composite,20,N,81.57,E
Chhattisgarh,Durg,"Chhattisgarh, Durg",Composite,21,N,81.35,E
Chhattisgarh,Gariaband,"Chhattisgarh, Gariaband",Composite,20.62,N,82.06,E
Chhattisgarh,Janjgir Champa,"Chhattisgarh, Janjgir Champa",Composite,22,N,84.72,E
Chhattisgarh,Jashpur,"Chhattisgarh, Jashpur",Composite,22,N,84.2,E
Chhattisgarh,Kabirdham,"Chhattisgarh, Kabirdham",Composite,22,N,81.23,E
Chhattisgarh,Kanker,"Chhattisgarh, Kanker",Composite,20,N,81.53,E
Chhattisgarh,Kondagaon,"Chhattisgarh, Kondagaon",Composite,19.59,N,81.66,E
Chhattisgarh,Korba,"Chhattisgarh, Korba",Composite,22,N,82.7,E
Chhattisgarh,Koriya,"Chhattisgarh, Koriya",Composite,23,N,84.6,E
Chhattisgarh,Mahasamund,"Chhattisgarh, Mahasamund",Composite,21,N,83.25,E
Chhattisgarh,Mungeli,"Chhattisgarh, Mungeli",Composite,22.06,N,81.68,E
Chhattisgarh,Narayanpur,"Chhattisgarh, Narayanpur",Composite,19.71,N,81.24,E
Chhattisgarh,Raigarh,"Chhattisgarh, Raigarh",Composite,21,N,83.4,E
Chhattisgarh,Raipur,"Chhattisgarh, Raipur",Composite,21,N,81.68,E
Chhattisgarh,Rajnandgaon,"Chhattisgarh, Rajnandgaon",Composite,21,N,81.08,E
Chhattisgarh,Sukma,"Chhattisgarh, Sukma",Composite,18.39,N,81.66,E
Chhattisgarh,Surajpur,"Chhattisgarh, Surajpur",Composite,23.12,N,83.18,E
Chhattisgarh,Surguja,"Chhattisgarh, Surguja",Composite,24,N,84.07,E
Dadra Nagar Haveli,Dadra Nagar Haveli,"Dadra Nagar Haveli, Dadra Nagar Haveli",Warm & Humid,20.31,N,72.96,E
Daman Diu,Daman,"Daman Diu, Daman",Warm & Humid,20.41,N,72.83,E
Daman Diu,Diu,"Daman Diu, Diu",Warm & Humid,20.71,N,70.98,E
Delhi,Central Delhi,"Delhi, Central Delhi",Composite,28,N,77.42,E
Delhi,East Delhi,"Delhi, East Delhi",Composite,28,N,77.22,E
Delhi,NewDelhi,"Delhi, East Delhi",Composite,28,N,77.22,E
Delhi,New Delhi,"Delhi, New Delhi",Composite,28,N,77.2,E
Delhi,North Delhi,"Delhi, North Delhi",Composite,29,N,77.37,E
Delhi,North East Delhi,"Delhi, North East Delhi",Composite,28.72,N,77.26,E
Delhi,North West Delhi,"Delhi, North West Delhi",Composite,28,N,77.22,E
Delhi,Shahdara,"Delhi, Shahdara",Composite,28.66,N,77.28,E
Delhi,South Delhi,"Delhi, South Delhi",Composite,28,N,77.22,E
Delhi,South East Delhi,"Delhi, South East Delhi",Composite,28.54,N,77.27,E
Delhi,South West Delhi,"Delhi, South West Delhi",Composite,28,N,77.22,E
Delhi,West Delhi,"Delhi, West Delhi",Composite,42,N,75,E
Goa,North Goa,"Goa, North Goa",Warm & Humid,15.49,N,73.92,E
Goa,South Goa,"Goa, South Goa",Warm & Humid,15,N,73.72,E
Gujarat,Ahmedabad,"Gujarat, Ahmedabad",Hot & Dry,23,N,72,E
Gujarat,Amreli,"Gujarat, Amreli",Composite,21,N,71.25,E
Gujarat,Anand,"Gujarat, Anand",Warm & Humid,22,N,73,E
Gujarat,Aravalli,"Gujarat, Aravalli",Warm & Humid,23.46,N,73.29,E
Gujarat,Banaskantha,"Gujarat, Banaskantha",Warm & Humid,24,N,72.47,E
Gujarat,Bharuch,"Gujarat, Bharuch",Warm & Humid,21,N,73.02,E
Gujarat,Bhavnagar,"Gujarat, Bhavnagar",Composite,21,N,72.18,E
Gujarat,Botad,"Gujarat, Botad",Warm & Humid,22.17,N,71.66,E
Gujarat,Chhota Udaipur,"Gujarat, Chhota Udaipur",Warm & Humid,22.3,N,74.01,E
Gujarat,Dahod,"Gujarat, Dahod",Warm & Humid,22,N,74.32,E
Gujarat,Dang,"Gujarat, Dang",Warm & Humid,20,N,73.75,E
Gujarat,Devbhoomi Dwarka,"Gujarat, Devbhoomi Dwarka",Warm & Humid,22.21,N,69.639,E
Gujarat,Gandhinagar,"Gujarat, Gandhinagar",Warm & Humid,23,N,73.83,E
Gujarat,Gir Somnath,"Gujarat, Gir Somnath",Warm & Humid,20.91,N,70.35,E
Gujarat,Jamnagar,"Gujarat, Jamnagar",Warm & Humid,22,N,70.12,E
Gujarat,Junagadh,"Gujarat, Junagadh",Warm & Humid,21,N,70.6,E
Gujarat,Kheda,"Gujarat, Kheda",Warm & Humid,22,N,72.75,E
Gujarat,Kutch,"Gujarat, Kutch","Warm & Humid , Composite",23,N,69.82,E
Gujarat,Mahisagar,"Gujarat, Mahisagar",Hot & Dry,23.13,N,73.61,E
Gujarat,Mehsana,"Gujarat, Mehsana",Hot & Dry,23,N,72.62,E
Gujarat,Morbi,"Gujarat, Morbi",Composite,22.81,N,70.82,E
Gujarat,Narmada,"Gujarat, Narmada",Hot & Dry,21,N,73.6,E
Gujarat,Navsari,"Gujarat, Navsari",Hot & Dry,21,N,73.67,E
Gujarat,Panchmahal,"Gujarat, Panchmahal",Hot & Dry,22,N,73.67,E
Gujarat,Patan,"Gujarat, Patan",Hot & Dry,23,N,72.02,E
Gujarat,Porbandar,"Gujarat, Porbandar",Warm & Humid,21,N,69.82,E
Gujarat,Rajkot,"Gujarat, Rajkot",Composite,22,N,70.93,E
Gujarat,Sabarkantha,"Gujarat, Sabarkantha",Hot & Dry,23,N,73.03,E
Gujarat,Surat,"Gujarat, Surat",Hot & Dry,21,N,73.38,E
Gujarat,Surendranagar,"Gujarat, Surendranagar",Hot & Dry,22,N,71.72,E
Gujarat,Tapi,"Gujarat, Tapi",Hot & Dry,21.11,N,73.396,E
Gujarat,Vadodara,"Gujarat, Vadodara",Hot & Dry,22,N,73.72,E
Gujarat,Valsad,"Gujarat, Valsad",Hot & Dry,20,N,73.12,E
Haryana,Ambala,"Haryana, Ambala",Composite,30,N,76.87,E
Haryana,Bhiwani,"Haryana, Bhiwani",Composite,28,N,76.3,E
Haryana,Charkhi Dadri,"Haryana, Charkhi Dadri",Composite,28.6,N,76.266,E
Haryana,Faridabad,"Haryana, Faridabad",Composite,28,N,77.37,E
Haryana,Fatehabad,"Haryana, Fatehabad",Composite,29,N,75.5,E
Haryana,Gurugram,"Haryana, Gurugram",Composite,28,N,77.07,E
Haryana,Hisar,"Haryana, Hisar",Composite,29,N,75.77,E
Haryana,Jhajjar,"Haryana, Jhajjar",Composite,28,N,76.63,E
Haryana,Jind,"Haryana, Jind",Composite,29,N,76.38,E
Haryana,Kaithal,"Haryana, Kaithal",Composite,29,N,78.43,E
Haryana,Karnal,"Haryana, Karnal",Composite,29,N,77.03,E
Haryana,Kurukshetra,"Haryana, Kurukshetra",Composite,30,N,76.82,E
Haryana,Mahendragarh,"Haryana, Mahendragarh",Composite,28,N,76.15,E
Haryana,Mewat,"Haryana, Mewat",Composite,27,N,77.17,E
Haryana,Palwal,"Haryana, Palwal",Composite,28,N,77.3,E
Haryana,Panchkula,"Haryana, Panchkula",Composite,30,N,76.98,E
Haryana,Panipat,"Haryana, Panipat",Composite,29,N,76.92,E
Haryana,Rewari,"Haryana, Rewari",Composite,28,N,76.62,E
Haryana,Rohtak,"Haryana, Rohtak",Composite,28,N,76.63,E
Haryana,Sirsa,"Haryana, Sirsa",Composite,29,N,74.92,E
Haryana,Sonipat,"Haryana, Sonipat",Composite,29,N,77.07,E
Haryana,Yamunanagar,"Haryana, Yamunanagar",Composite,30,N,77.28,E
Himachal Pradesh,Bilaspur,"Himachal Pradesh, Bilaspur",Composite,31,N,76.83,E
Himachal Pradesh,Chamba,"Himachal Pradesh, Chamba",Cold,32,N,76.17,E
Himachal Pradesh,Hamirpur,"Himachal Pradesh, Hamirpur",Composite,31,N,76.52,E
Himachal Pradesh,Kangra,"Himachal Pradesh, Kangra",Composite,32,N,76.3,E
Himachal Pradesh,Kinnaur,"Himachal Pradesh, Kinnaur",Cold,31,N,78.35,E
Himachal Pradesh,Kullu,"Himachal Pradesh, Kullu",Cold,31,N,77.1,E
Himachal Pradesh,Lahaul Spiti,"Himachal Pradesh, Lahaul Spiti",Cold,32,N,77.55,E
Himachal Pradesh,Mandi,"Himachal Pradesh, Mandi",Composite,31,N,76.97,E
Himachal Pradesh,Shimla,"Himachal Pradesh, Shimla",Cold,31,N,77.22,E
Himachal Pradesh,Sirmaur,"Himachal Pradesh, Sirmaur",Composite,34,N,81.38,E
Himachal Pradesh,Solan,"Himachal Pradesh, Solan",Composite,30,N,77.12,E
Himachal Pradesh,Una,"Himachal Pradesh, Una",Composite,20,N,71.13,E
Jammu Kashmir,Anantnag,"Jammu Kashmir, Anantnag",Cold,33,N,75.15,E
Jammu Kashmir,Bandipora,"Jammu Kashmir, Bandipora",Cold,24,N,74.65,E
Jammu Kashmir,Baramulla,"Jammu Kashmir, Baramulla",Cold,34,N,74.5,E
Jammu Kashmir,Budgam,"Jammu Kashmir, Budgam",Cold,34,N,75,E
Jammu Kashmir,Doda,"Jammu Kashmir, Doda",Cold,32,N,76.78,E
Jammu Kashmir,Ganderbal,"Jammu Kashmir, Ganderbal",Cold,34.21,N,74.77,E
Jammu Kashmir,Jammu,"Jammu Kashmir, Jammu",Cold,32,N,74.9,E
Jammu Kashmir,Kathua,"Jammu Kashmir, Kathua",Cold,32,N,75.6,E
Jammu Kashmir,Kishtwar,"Jammu Kashmir, Kishtwar",Cold,33.31,N,75.76,E
Jammu Kashmir,Kulgam,"Jammu Kashmir, Kulgam",Cold,33.64,N,75.01,E
Jammu Kashmir,Kupwara,"Jammu Kashmir, Kupwara",Cold,34,N,73.27,E
Jammu Kashmir,Poonch,"Jammu Kashmir, Poonch",Cold,33,N,74.58,E
Jammu Kashmir,Pulwama,"Jammu Kashmir, Pulwama",Cold,33,N,75.58,E
Jammu Kashmir,Rajouri,"Jammu Kashmir, Rajouri",Cold,32,N,74.07,E
Jammu Kashmir,Ramban,"Jammu Kashmir, Ramban",Cold,33.24,N,75.23,E
Jammu Kashmir,Reasi,"Jammu Kashmir, Reasi",Cold,33.08,N,74.83,E
Jammu Kashmir,Samba,"Jammu Kashmir, Samba",Cold,32,N,75.18,E
Jammu Kashmir,Shopian,"Jammu Kashmir, Shopian",Cold,33.71,N,74.82,E
Jammu Kashmir,Srinagar,"Jammu Kashmir, Srinagar",Cold,34,N,75.38,E
Jammu Kashmir,Udhampur,"Jammu Kashmir, Udhampur",Cold,32,N,75.63,E
Jharkhand,Bokaro,"Jharkhand, Bokaro",Composite,23,N,85,E
Jharkhand,Chatra,"Jharkhand, Chatra",Composite,24,N,84.93,E
Jharkhand,Deoghar,"Jharkhand, Deoghar",Composite,24,N,86.7,E
Jharkhand,Dhanbad,"Jharkhand, Dhanbad",Composite,23,N,86.5,E
Jharkhand,Dumka,"Jharkhand, Dumka",Warm & Humid,24,N,87.25,E
